date,sp500 open,sp500 high,sp500 low,sp500 close,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq high-low,usd_chf,silver open,silver high,silver low,silver close,silver volume,oil high-low,gold open,gold high,gold low,gold close,standard__sp500 open,standard__sp500 high,standard__sp500 low,standard__sp500 close,standard__nasdaq open,standard__nasdaq high,standard__nasdaq low,standard__nasdaq close,standard__nasdaq high-low,standard__usd_chf,standard__silver open,standard__silver high,standard__silver low,standard__silver close,standard__silver volume,standard__oil high-low,standard__gold open,standard__gold high,standard__gold low,standard__gold close
2013-03-11,155.32,156.04,155.13,156.03,68.68,68.99,68.47,68.97,0.519999999999996,0.9496,28.52,28.6999,28.49,28.69,75325.0,0.4499999999999957,152.82,153.06,152.65,152.99,-0.8471615537783203,-0.849767401479256,-0.8448056564895627,-0.8510601690582682,-0.8778469717538111,-0.8791312941705054,-0.8755158548360381,-0.8796089325744008,-0.7786892103653189,0.2771758217586775,0.12682428108892638,0.1513148035093585,0.15542144579311387,0.16808856795138802,-0.4344168223468747,-0.3032646888064021,-0.4139694183178928,-0.38980839359722474,-0.3989593027683782,-0.3829062537233311
2013-03-19,155.3,155.51,153.59,154.61,68.54,68.7,67.62,68.23,1.0799999999999983,0.946,28.54,28.79,28.5,28.57,157113.0,0.6799999999999997,155.22,156.34,155.1,156.08,-0.857976041693336,-0.8578144564327798,-0.8540233831562578,-0.851307797939278,-0.8844748991163547,-0.884532051992128,-0.8820355060310535,-0.8810818428594264,-0.7336278794299147,0.2829141640439718,0.11239293798973583,0.1133805268908248,0.1420150353219735,0.11353997047741549,-0.6214853304342768,-0.4965482160914212,-0.38239101288693933,-0.3887949649266831,-0.37709303193839616,-0.39410846545493616
2013-03-25,156.01,156.27,154.35,154.95,68.81,68.96,68.01,68.34,0.9499999999999886,0.9473,28.45,28.59,28.37,28.49,74383.0,0.5799999999999983,154.71,155.57,154.36,155.24,-0.8505462408356915,-0.850177965507497,-0.8610820026757988,-0.8666607885618869,-0.8788288869186323,-0.8781973285321797,-0.8786518895880708,-0.8823910964461157,-0.6002463398611219,0.21022849509690442,0.10918597285658245,0.09125219886334658,0.11618317124343532,0.0862656717404295,-0.41056790679596256,-0.24379283425716466,-0.32806257343583717,-0.33677229317221036,-0.3685515198954342,-0.38867709006991585
2013-03-27,155.26,156.24,155.0,156.19,68.25,68.85,68.14,68.801,0.7099999999999937,0.9534,28.02,28.4599,27.83,28.39,213233.0,0.4399999999999977,154.67,155.62,154.509,155.36,-0.8582237017219241,-0.8601136149909294,-0.8644037059791123,-0.8657528159981841,-0.8798926283471887,-0.8813646902621539,-0.8825306694129534,-0.8844368051753178,-0.5714070880624638,0.02277598044393636,0.12361731595577298,0.11179993203171897,0.1358023085182743,0.1424186397283421,-0.5580227577318623,-0.02077337969752162,-0.34504021076430663,-0.3573820542354599,-0.35556842159013125,-0.34420770410506096
2013-03-28,156.09,156.85,155.75,156.67,68.81,69.06,68.64,68.97,0.4200000000000017,0.9468,28.19,28.3,27.923,28.067,97754.0,0.3100000000000023,154.5,154.8,154.22,154.47,-0.8693684030083906,-0.8739085663398272,-0.8776905191923662,-0.884655153915267,-0.8860295981273216,-0.8876994137221023,-0.8883901027654358,-0.8922104983462857,-0.5966414333862825,-0.09772920754725647,0.1412556241881169,0.14657301893204214,0.16359608632429706,0.13600115767258075,-0.5750224141311232,-0.6452278524645307,-0.3362118393535028,-0.3259623873530995,-0.3302855459429646,-0.33436333621971076
2013-04-02,156.61,157.21,156.37,156.82,68.81,69.27,68.77,69.04,0.5,0.9485,27.29,27.34,26.918,26.96,1123550.0,0.4799999999999969,153.09,153.31,152.26,152.43,-0.8510415608928679,-0.8576502308214833,-0.8507847224355269,-0.8555174889164449,-0.8796471495559833,-0.8818519766821499,-0.877909144515221,-0.8810000145102582,-0.794911289502065,-0.22205995706198098,0.022597914261439242,0.03751197365375685,0.04261140646278706,0.039738926836158914,-0.4157947087812302,-0.6972657251951094,-0.40989478535906,-0.3965645847341688,-0.3993009632500964,-0.38799816814678795
2013-04-03,156.91,157.03,154.82,155.23,69.08,69.18,68.24,68.41,0.940000000000012,0.9451,26.93,27.04,26.46,26.69,277916.0,0.9649999999999964,152.02,152.53,149.92,150.73,-0.8676347828082734,-0.8647119321072286,-0.8643206633965294,-0.8695497921736681,-0.8868478607646726,-0.8852629816221221,-0.8846763774011864,-0.8869734839995284,-0.6507150305087696,-0.38655910257376763,-0.020696115036132362,-0.008325277260304855,0.005008060019345374,-0.00037033601235032066,-0.4276940666624044,-0.49654821609143174,-0.44351050726942987,-0.42257592061140514,-0.4247546691381231,-0.4114209744946885
2013-04-04,155.43,156.17,155.09,155.86,68.41,68.6,68.06,68.43,0.539999999999992,0.9458,26.47,26.706,26.35,26.6,195381.0,0.6400000000000006,149.65,150.6,149.44,150.29,-0.8600398752649038,-0.8659436241919517,-0.8737875178109729,-0.8806930918191099,-0.8831656788965928,-0.8868872696887756,-0.8904532835233521,-0.8938470653296474,-0.4704697067671529,-0.5587093711326154,0.0033561234625183395,0.026447809640017743,0.03607169403784073,0.01567336912705303,-0.5870763873610739,-0.615491925189896,-0.4217791314889894,-0.37798505910757124,-0.40476753095759194,-0.3774748783383108
2013-04-05,153.95,155.35,153.77,155.16,67.35,67.96,67.19,67.861,0.769999999999996,0.9324,26.81,27.07,26.7,27.01,151147.0,0.3900000000000005,151.54,152.9599,151.07,152.81,-0.8811735310377588,-0.8650403833298214,-0.8762787952884579,-0.8603875235763047,-0.8942940507645672,-0.8886739865620944,-0.8920213008993685,-0.8864006855553518,-0.4812844261916504,-0.4573319907590724,0.004959606029095319,0.013803050767173366,0.019722412975474907,0.022090851182814373,-0.5206038353363712,-0.34786857971833285,-0.4095552326124909,-0.399267061188947,-0.40510919143931107,-0.39478738737806307
2013-04-08,155.27,156.22,154.75,156.21,67.88,68.24,67.69,68.22,0.5499999999999972,0.9346,26.97,27.01,26.86,26.96,125015.0,0.4099999999999966,152.39,152.59,151.6,152.16,-0.8616083887792954,-0.863644465633802,-0.8629089394926213,-0.8688894484909752,-0.8861114243910566,-0.8893237017887557,-0.8868963598967043,-0.8903284463154197,-0.7339883700773997,-0.4802853599002516,0.07711632152504799,0.04857613766749597,0.08021475290622933,0.06540885505920428,-0.5367019035330254,-0.793907488837619,-0.3861260930992031,-0.38575467891505794,-0.3688931803771524,-0.37136458103016257
